Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
3/4/2019, 19, 21, 23, 38, 40, 48, 741706, $11200000.00, 16110
3/2/2019, 27, 35, 38, 42, 46, 48, 999183, $11100000.00, 28588
2/27/2019, 2, 17, 20, 30, 31, 36, 975128, $11000000.00, 20670
2/25/2019, 5, 14, 26, 28, 31, 43, 972266, $10900000.00, 19684
2/23/2019, 6, 7, 8, 27, 41, 48, 147051, $10800000.00, 34586
2/20/2019, 19, 23, 26, 38, 42, 46, 957850, $10700000.00, 15166
2/18/2019, 4, 6, 16, 19, 27, 36, 819382, $10600000.00, 19924
2/16/2019, 2, 3, 28, 43, 47, 49, 633685, $10500000.00, 28218
2/13/2019, 8, 17, 18, 19, 27, 40, 016318, $10400000.00, 25784
2/11/2019, 10, 17, 32, 37, 40, 48, 059535, $10300000.00, 15950
2/9/2019, 3, 18, 24, 40, 43, 45, 591067, $10200000.00, 26252
2/6/2019, 9, 12, 20, 24, 44, 45, 906958, $10100000.00, 24358
2/4/2019, 3, 9, 19, 24, 32, 49, 684958, $10000000.00, 22662
2/2/2019, 6, 21, 31, 34, 38, 42, 346471, $9900000.00, 21746
1/30/2019, 5, 9, 11, 12, 35, 46, 588850, $9800000.00, 25026
1/28/2019, 19, 26, 29, 35, 41, 42, 703398, $9700000.00, 18926
1/26/2019, 4, 27, 30, 32, 36, 48, 442499, $9600000.00, 26846
1/23/2019, 3, 5, 13, 31, 43, 44, 897171, $9500000.00, 19730
1/21/2019, 1, 11, 13, 26, 34, 43, 233581, $9400000.00, 19586
1/19/2019, 5, 7, 10, 27, 28, 35, 292602, $9300000.00, 38734
1/16/2019, 3, 7, 12, 22, 34, 43, 379099, $9200000.00, 30890
1/14/2019, 1, 5, 13, 28, 44, 49, 665096, $9100000.00, 19180
1/12/2019, 3, 10, 12, 16, 24, 27, 843233, $9000000.00, 51890
1/9/2019, 16, 22, 30, 41, 47, 48, 758787, $8900000.00, 16838
1/7/2019, 1, 13, 16, 24, 41, 48, 698675, $8800000.00, 15860
1/5/2019, 7, 9, 13, 20, 37, 47, 310442, $8700000.00, 30950
1/2/2019, 15, 21, 24, 25, 30, 40, 146233, $8600000.00, 23826
12/31/2018, 12, 15, 19, 30, 34, 48, 777516, $8500000.00, 20222
12/29/2018, 16, 23, 27, 31, 40, 45, 879089, $8400000.00, 29142
12/26/2018, 6, 14, 26, 27, 33, 34, 782903, $8300000.00, 16770
12/24/2018, 4, 5, 6, 20, 35, 49, 085297, $8200000.00, 21062
12/22/2018, 2, 6, 24, 28, 45, 49, 341141, $8100000.00, 24504
12/19/2018, 12, 13, 16, 19, 25, 29, 347741, $8000000.00, 27004
12/17/2018, 7, 8, 13, 14, 23, 47, 017375, $7900000.00, 21824
12/15/2018, 8, 16, 23, 29, 40, 47, 633027, $7800000.00, 24672
12/12/2018, 3, 21, 31, 35, 37, 42, 526790, $7700000.00, 19416
12/10/2018, 17, 18, 21, 26, 32, 37, 949391, $7600000.00, 15846
12/8/2018, 11, 13, 15, 21, 33, 48, 306670, $7500000.00, 24800
12/5/2018, 5, 7, 22, 39, 43, 45, 169842, $7400000.00, 19766
12/3/2018, 7, 17, 27, 32, 35, 46, 156884, $7300000.00, 18730
12/1/2018, 3, 11, 17, 28, 31, 37, 944966, $7200000.00, 38010
11/28/2018, 23, 26, 28, 29, 42, 43, 744117, $7100000.00, 14142
11/26/2018, 3, 20, 28, 29, 38, 45, 629982, $7000000.00, 21310
11/24/2018, 6, 15, 20, 22, 37, 40, 953228, $6900000.00, 22534
11/21/2018, 1, 2, 9, 16, 20, 31, 632034, $6800000.00, 23164
11/19/2018, 14, 17, 22, 26, 36, 44, 411671, $6700000.00, 13030
11/17/2018, 3, 7, 22, 31, 44, 46, 075457, $6600000.00, 28832
11/14/2018, 12, 16, 22, 23, 37, 49, 245098, $6500000.00, 21770
11/12/2018, 4, 12, 14, 31, 32, 48, 947267, $6400000.00, 18818
11/10/2018, 16, 24, 30, 32, 39, 49, 672129, $6300000.00, 21450
11/7/2018, 2, 4, 30, 37, 39, 41, 754964, $6200000.00, 13770
11/5/2018, 13, 22, 30, 36, 45, 48, 217579, $6100000.00, 13798
11/3/2018, 18, 24, 26, 27, 35, 49, 392329, $6000000.00, 22786
10/31/2018, 10, 29, 42, 44, 48, 49, 887290, $5900000.00, 12864
10/29/2018, 1, 25, 33, 40, 43, 46, 769899, $5800000.00, 12760
10/27/2018, 2, 18, 22, 30, 38, 41, 871226, $5700000.00, 23668
10/24/2018, 11, 15, 17, 23, 36, 38, 539349, $5600000.00, 23938
10/22/2018, 12, 14, 19, 33, 35, 41, 592908, $5500000.00, 19272
10/20/2018, 10, 15, 16, 29, 36, 49, 688994, $5400000.00, 27936
10/17/2018, 13, 17, 20, 24, 25, 34, 189753, $5300000.00, 20606
10/15/2018, 1, 14, 20, 21, 43, 44, 949516, $5200000.00, 15444
10/13/2018, 2, 6, 7, 30, 31, 41, 137001, $5100000.00, 29964
10/10/2018, 8, 9, 18, 26, 43, 49, 177302, $5000000.00, 18060
10/8/2018, 6, 8, 18, 19, 44, 45, 848314, $4900000.00, 16520
10/6/2018, 6, 12, 15, 31, 42, 46, 967275, $4800000.00, 24380
10/3/2018, 3, 5, 11, 30, 31, 46, 881192, $4700000.00, 25680
10/1/2018, 9, 24, 25, 26, 39, 48, 605419, $4600000.00, 14010
9/29/2018, 2, 9, 16, 22, 24, 40, 591725, $4500000.00, 25012
9/26/2018, 3, 13, 15, 37, 38, 41, 442061, $4400000.00, 13984
9/24/2018, 11, 21, 22, 32, 34, 45, 140360, $4300000.00, 14144
9/22/2018, 1, 2, 14, 21, 35, 41, 820219, $4200000.00, 24460
9/19/2018, 4, 12, 25, 27, 29, 38, 104540, $4100000.00, 26914
9/17/2018, 3, 27, 32, 45, 48, 49, 555449, $4000000.00, 13118
9/15/2018, 11, 17, 18, 38, 48, 49, 521008, $3900000.00, 16956
9/12/2018, 3, 5, 17, 19, 22, 46, 997312, $3800000.00, 18732
9/10/2018, 17, 26, 29, 34, 35, 37, 998017, $3700000.00, 14528
9/8/2018, 3, 16, 19, 30, 34, 35, 261754, $3600000.00, 20736
9/5/2018, 7, 14, 17, 20, 28, 44, 633760, $3500000.00, 25278
